DENOM_CIA,ano,lucro_liquido,ativos_totais,ROA,pais
Advantage Energy Ltd,2013,-3382.0,1765244.0,-0.19158824502448385,3
Agnico Eagle Mines Limited,2013,-686705.0,4580081.0,-14.993293786725607,3
B2Gold Corp,2013,67303.0,2309726.0,2.91389541443444,3
Birchcliff Energy Ltd,2013,65417.0,1586531.0,4.123272725209907,3
"Brookfield Business Partners L ,P",2013,0.0,0.0,,3
Cameco Corporation,2013,317687.0,1757830.0,18.07268052086948,3
Canfor Corporation,2013,250.5,2693.3,9.300857683882226,3
Capital Power Corporation,2013,228.0,5219.0,4.368652998658747,3
Celestica Inc,2013,118.0,2583.6,4.567270475305775,3
Dundee Precious Metals Inc,2013,13181.0,987783.0,1.3344023940480854,3
Ero Copper Corp,2013,0.0,0.0,,3
Ero Copper Corp,2013,0.0,0.0,,3
Freehold Royalties Ltd,2013,57852.0,427865.0,13.52108725883164,3
Corridor Resources Inc,2013,22449.0,181262.0,12.384835210910174,3
Imperial Oil Limited,2013,2828.0,37218.0,7.598473856735987,3
Interfor Corporation,2013,42239.0,824126.0,5.125308508650376,3
Loblaw Companies Limited,2013,627.0,20741.0,3.022997926811629,3
Magna International Inc,2013,1545.0,17990.0,8.58810450250139,3
Methanex Corporation,2013,377000.0,4120900.0,9.148486980999296,3
MTY Food Group Inc,2013,25661.0,172688.0,14.859747058278513,3
NOVAGOLD RESOURCES INC,2013,-6276.0,524546.0,-1.1964632272479439,3
Nutrien Ltd,2013,0.0,0.0,,3
PrairieSky Royalty Ltd,2013,0.0,0.0,,3
SANDSTORM GOLD LTD,2013,-74629.0,379703.0,-19.65457212610909,3
Shopify Inc,2013,0.0,0.0,,3
SNC-Lavalin Group Inc,2013,36384.0,11772625.0,0.3090559667024134,3
Spin Master Corp,2013,0.0,0.0,,3
Suncor Energy Inc,2013,3911.0,78315.0,4.993934750686331,3
Suncor Energy Inc,2013,3911.0,78315.0,4.993934750686331,3
Tamarack Valley Energy Ltd,2013,14813126.0,269706879.0,5.492305592991568,3
TC Energy Corporation,2013,1911.0,53898.0,3.545586107091172,3
Topaz Energy Corp,2013,0.0,0.0,,3
Constellation Software Inc_,2013,93135.0,1537704.0,6.056757347317819,3
GFL Environmental Inc,2013,0.0,0.0,,3
CAE Inc_,2013,,0.0,,3
Jamieson Wellness Inc_,2013,0.0,0.0,,3
Suncor Energy Inc,2013,3911.0,78315.0,4.993934750686331,3
Suncor Energy Inc,2013,3911.0,78315.0,4.993934750686331,3
Dollarama Inc,2013,0.0,0.0,,3
The North West Company Inc,2013,0.0,0.0,,3
NexGen Energy Ltd,2013,-3373814.0,39120694.0,-8.624115921869894,3
Boralex Inc,2013,-3711.0,19338.0,-19.190195470058953,3
Canada Goose Holdings Inc,2013,0.0,0.0,,3
Centerra Gold Inc,2013,157676.0,1687664.0,9.342854975871974,3
Precision Drilling Corporation,2013,191150.0,4579123.0,4.174380116017849,3
Paramount Resources Ltd,2013,-59085.0,2447803.0,-2.413797188744356,3
Vermilion Energy Inc,2013,327641.0,3708719.0,8.834344149556761,3
Ero Copper Corp,2013,0.0,0.0,,3
Ero Copper Corp,2013,0.0,0.0,,3
Enghouse Systems Limited,2013,0.0,0.0,,3
Tourmaline Oil Corp,2013,148114.0,4696471.0,3.1537296834154835,3
Keyera Corp,2013,146836.0,3051065.0,4.812614611619222,3
Advantage Energy Ltd,2014,15703.0,1454767.0,1.0794168413223562,3
Agnico Eagle Mines Limited,2014,82970.0,6840538.0,1.2129162940107927,3
B2Gold Corp,2014,-666385.0,2118598.0,-31.454055936992294,3
Birchcliff Energy Ltd,2014,114304.0,1918680.0,5.957429065816082,3
"Brookfield Business Partners L ,P",2014,0.0,0.0,,3
Cameco Corporation,2014,183413.0,2067706.0,8.870361647158735,3
Canfor Corporation,2014,221.8,2846.8,7.7912041590557815,3
Capital Power Corporation,2014,50.0,5420.0,0.9225092250922509,3
Celestica Inc,2014,108.2,2638.9,4.100193262344159,3
Dundee Precious Metals Inc,2014,-6271.0,980152.0,-0.6397987250956995,3
Ero Copper Corp,2014,0.0,0.0,,3
Ero Copper Corp,2014,0.0,0.0,,3
Freehold Royalties Ltd,2014,66447.0,653277.0,10.171336201948025,3
Corridor Resources Inc,2014,-17706.0,166267.0,-10.649136629637871,3
Imperial Oil Limited,2014,3785.0,4083.0,92.70144501591967,3
Interfor Corporation,2014,40690.0,1068523.0,3.808060285085113,3
