DENOM_CIA,CNPJ_CIA,ano,lucro_liquido,ativo_total,ROA
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2012,,,
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2012,,,
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2012,,,
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2012,,,
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2012,,,
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2012,,,
"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",60.537.263/0001-66,2012,,,
ALPARGATAS S.A.,61.079.117/0001-05,2012,280536.0,2740729.0,10.235816820999084
ALPHAVILLE S.A.,16.811.931/0001-00,2012,,,
ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,2012,538938.0,7456055.0,7.228192388602284
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,12.648.266/0001-24,2012,,,
ANIMA HOLDING S.A.,09.288.252/0001-32,2012,23503.0,261641.0,8.982919343680845
AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,2012,96874.0,636591.0,15.217620104588347
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00.242.184/0001-04,2012,,,
ATACADÃO S.A.,75.315.333/0001-09,2012,,,
AURA MINERALS INC.,07.857.093/0001-14,2012,,,
AUREN ENERGIA S.A.,28.594.234/0001-23,2012,,,
AZUL S.A.,09.305.994/0001-29,2012,,,
BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,2012,-2048.0,62655.0,-3.268693639773362
BEMOBI MOBILE TECH S.A.,09.042.817/0001-05,2012,,,
BIOMM S.A.,04.752.991/0001-10,2012,-14140.0,8328.0,-169.78866474543707
BLAU FARMACÊUTICA S.A.,58.430.828/0001-60,2012,,,
BOA SAFRA SEMENTES S.A.,10.807.374/0001-77,2012,,,
BRADESPAR S.A.,03.847.461/0001-92,2012,476737.0,11060825.0,4.310139614359689
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,2012,-6600.0,735762.0,-0.8970292023779429
BRASKEM S.A.,42.150.391/0001-70,2012,-738305.0,41163578.0,-1.7935880112268179
BRF S.A.,01.838.723/0001-27,2012,820667.0,30772248.0,2.6669062331747746
BRISANET PARTICIPAÇÕES S.A.,19.796.586/0001-70,2012,,,
BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64,2012,,,
C&A MODAS S.A.,45.242.914/0001-05,2012,,,
CAMIL ALIMENTOS S.A.,64.904.295/0001-03,2012,,,
CCR S.A.,02.846.056/0001-97,2012,1192373.0,14305826.0,8.334876993471052
CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,2012,-6925652.0,172195578.0,-4.02196855484872
CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55,2012,-258366.0,5369248.0,-4.811958769645209
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,2012,,,
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,2012,,,
CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,2012,1156436.0,35396234.0,3.2671159310337927
CIA ENERGETICA DE MINAS GERAIS - CEMIG,17.155.730/0001-64,2012,4271685.0,40772961.0,10.476759340583579
CIA FERRO LIGAS DA BAHIA - FERBASA,15.141.799/0001-03,2012,85544.0,1307001.0,6.545060026732956
CIA FIACAO TECIDOS CEDRO CACHOEIRA,17.245.234/0001-00,2012,16418.0,627992.0,2.614364514197633
