,Unnamed: 0,ano,DENOM_CIA,CNPJ_CIA,ROA,margem_ebitda,margem_liquida,liquidez_corrente,cap_terc_patrimo_liquido,IPCA,PIB_per_capta,cambio,divida_liquida_pib,SELIC,SELIC_over (%a.a),empresa_factor,exportacoes,importacoes,balanca_comercial,PIB,receita_bruta_media,tamanho,ativo_medio,tamanho_empresa,intercepto
0,1,2012,CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,-4.02196855484872,-0.156135529549018,-0.1751606350016,1.43737602572892,1.55936474876195,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,1,241982.43345516,225074.04396008,16908.38949508,4.81476,17239860.0,Média Empresa,120783966.636364,Grande Empresa,1
1,2,2012,EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,7.16976342197446,0.155789829066154,0.12513134527157,4.24754652068661,1.09057428066033,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,131,241982.43345516,225074.04396008,16908.38949508,4.81476,,,2777124.54545455,Pequena Empresa,1
2,3,2012,MARCOPOLO S.A.,88.611.835/0001-29,8.60907013660016,0.115223358676955,0.0792104757129302,1.49444239931212,1.67598084184925,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,180,241982.43345516,225074.04396008,16908.38949508,4.81476,,,3808173.72727273,Pequena Empresa,1
3,4,2012,PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,3.09264546271706,0.189218249396024,0.0744878832352105,1.6963634447014,0.961928958323004,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,114,241982.43345516,225074.04396008,16908.38949508,4.81476,,,873007333.272727,Grande Empresa,1
4,5,2012,RAIA DROGASIL S.A.,61.585.865/0001-51,3.13919643995873,0.0529577038646072,0.0194871400301223,1.96213493714641,0.47491785739045,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,163,241982.43345516,225074.04396008,16908.38949508,4.81476,17018239.5555556,Média Empresa,8316490.09090909,Pequena Empresa,1
5,6,2012,IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,2.18386047397131,0.279810279884745,0.0545724574877598,1.13548175839769,1.6609618836797,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,192,241982.43345516,225074.04396008,16908.38949508,4.81476,,,1822777.27272727,Microempresa,1
6,7,2012,EMBRAER S.A.,07.689.002/0001-89,3.60431062366906,0.144740145135335,0.0572876845590968,1.92168241945765,1.83264704413157,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,44,241982.43345516,225074.04396008,16908.38949508,4.81476,,,31853779.3636364,Média Empresa,1
7,8,2012,RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL,08.534.605/0001-74,-0.224679326925411,0.487776615155787,-0.0520326187531888,1.80745289617309,1.7012780954552,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,57,241982.43345516,225074.04396008,16908.38949508,4.81476,333464.0,Microempresa,1940935.72727273,Microempresa,1
8,9,2012,GRENDENE S.A.,89.850.341/0001-60,18.7606373600669,0.209121586802711,0.228382862479719,5.05554025066318,0.172960981018263,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,185,241982.43345516,225074.04396008,16908.38949508,4.81476,,,3502087.45454545,Pequena Empresa,1
9,10,2012,TOTVS S.A.,53.113.791/0001-22,14.5815104802759,0.26736521694852,0.1465003649284,2.23037219773903,0.555743550319445,5.838595,48.240176,1.954583,33.744167,8.628415,8.482271,145,241982.43345516,225074.04396008,16908.38949508,4.81476,1491758.8,Pequena Empresa,3178940.90909091,Pequena Empresa,1
