DENOM_CIA,CNPJ_CIA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8048.0,-132719.0,532413.0,550359.0
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561749.0,1213177.0
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74849.0,129174.0,414240.0,636768.0
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260526.0,110054.0,207778.0,85701.0
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222729.0,328778.0,477381.0,280948.0
"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",60.537.263/0001-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355449.0,265190.0,205199.0,306478.0
ALPARGATAS S.A.,61.079.117/0001-05,351957.0,392051.0,402744.0,470416.0,575964.0,486239.0,564674.0,588303.0,435892.0,749978.0,364613.0
ALPHAVILLE S.A.,16.811.931/0001-00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-409730.0,-286322.0,-247205.0,-177397.0
ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,917717.0,1001052.0,1088878.0,1150777.0,1329537.0,1170180.0,1294821.0,2557747.0,3454426.0,3920529.0,3016393.0
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,12.648.266/0001-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131975.0,197554.0,516937.0,1046915.0
ANIMA HOLDING S.A.,09.288.252/0001-32,44078.0,52413.0,142716.0,97533.0,98210.0,137470.0,92976.0,243063.0,268003.0,704055.0,952375.0
AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,135763.0,159460.0,161300.0,165496.0,177141.0,206265.0,232161.0,303424.0,173212.0,574273.0,716159.0
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00.242.184/0001-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184055.0,457479.0
ATACADÃO S.A.,75.315.333/0001-09,0.0,0.0,0.0,0.0,3227000.0,3785000.0,3891000.0,3854000.0,5596000.0,6340000.0,6657000.0
AURA MINERALS INC.,07.857.093/0001-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256252.0,460670.0,627642.0,455549.0
AUREN ENERGIA S.A.,28.594.234/0001-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918896.0,1971157.0
AZUL S.A.,09.305.994/0001-29,0.0,0.0,0.0,0.0,645487.0,1164814.0,850349.0,2475484.0,406472.0,1599128.0,3524003.0
BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,-6876.0,-8349.0,0.0,0.0,0.0,-1347.0,-1363.0,-9312.0,-18678.0,-7495.0,-30604.0
BEMOBI MOBILE TECH S.A.,09.042.817/0001-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85117.0,118434.0,162221.0
BIOMM S.A.,04.752.991/0001-10,-11703.0,-7300.0,-16441.0,-2652.0,-32235.0,-34926.0,-34934.0,-52610.0,-55573.0,-65649.0,-86236.0
BLAU FARMACÊUTICA S.A.,58.430.828/0001-60,0.0,0.0,0.0,0.0,0.0,173285.0,212859.0,311504.0,404911.0,477534.0,474475.0
BOA SAFRA SEMENTES S.A.,10.807.374/0001-77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191894.0
BRADESPAR S.A.,03.847.461/0001-92,570436.0,19594.0,57595.0,-2476513.0,781880.0,2609791.0,1234255.0,-415618.0,1460597.0,8017274.0,3646379.0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,-12092.0,54964.0,-5932.0,180155.0,-3063.0,14842.0,184035.0,209954.0,104035.0,504123.0,772791.0
BRASKEM S.A.,42.150.391/0001-70,3472379.0,4796009.0,5625570.0,9167120.0,8634347.0,12287917.0,11294520.0,3575687.0,3976189.0,30221980.0,9005238.0
BRF S.A.,01.838.723/0001-27,2355581.0,3135734.0,4708737.0,5545090.0,3418015.0,2654094.0,1540867.0,5254051.0,5241171.0,5756141.0,2855416.0
BRISANET PARTICIPAÇÕES S.A.,19.796.586/0001-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173474.0,237410.0,435759.0
BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64,0.0,0.0,10444.0,16064.0,30.0,6372.0,38950.0,50593.0,75299.0,91541.0,144052.0
C&A MODAS S.A.,45.242.914/0001-05,0.0,0.0,0.0,0.0,0.0,0.0,561445.0,1534880.0,360709.0,339453.0,944771.0
CAMIL ALIMENTOS S.A.,64.904.295/0001-03,0.0,0.0,0.0,0.0,0.0,546991.0,489787.0,483397.0,441719.0,787016.0,809787.0
CCR S.A.,02.846.056/0001-97,3037698.0,3290131.0,3557644.0,3551992.0,5261860.0,5052348.0,3817776.0,5489434.0,4455867.0,6795786.0,11845097.0
CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,-6173421.0,-3690103.0,-179313.0,-10701921.0,19797191.0,6744201.0,20141132.0,10257061.0,10487161.0,15132154.0,10698722.0
CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55,-333316.0,354182.0,1005188.0,356775.0,329336.0,523243.0,610596.0,724819.0,922559.0,1043075.0,1079912.0
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,0.0,0.0,0.0,143809.0,154979.0,149352.0,219907.0,0.0,0.0,0.0,0.0
CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,3703316.0,3813664.0,4935000.0,2825000.0,1618000.0,2342000.0,3066000.0,3525000.0,4666000.0,3807000.0,461000.0
CIA ENERGETICA DE MINAS GERAIS - CEMIG,17.155.730/0001-64,5083158.0,5186139.0,6381316.0,4931483.0,2639409.0,3492175.0,3330490.0,4067618.0,5695349.0,8000279.0,6869261.0
CIA FERRO LIGAS DA BAHIA - FERBASA,15.141.799/0001-03,126262.0,132857.0,133504.0,269999.0,83422.0,356087.0,522746.0,365307.0,456690.0,957978.0,1334154.0
CIA FIACAO TECIDOS CEDRO CACHOEIRA,17.245.234/0001-00,45845.0,54396.0,29874.0,-40394.0,-61166.0,101516.0,80489.0,36051.0,18978.0,63291.0,90528.0
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,1551107.0,1829396.0,2339857.0,2585210.0,2752398.0,2872980.0,3143226.0,4284517.0,5263179.0,6528577.0,4217218.0
CIA SANEAMENTO BASICO EST SAO PAULO,43.776.517/0001-80,3585407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17.281.106/0001-03,1143033.0,1156899.0,1107927.0,864652.0,1396109.0,1520709.0,1490864.0,1758469.0,1926566.0,1595408.0,1982469.0
CM HOSPITALAR S.A,12.420.164/0001-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279286.0,590489.0,539752.0
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,328991.0,666962.0,1290585.0,1875243.0,2208005.0,2111221.0,1721676.0,2214678.0,-2421327.0,829959.0,972998.0
COMPANHIA BRASILEIRA DE ALUMÍNIO,61.409.892/0001-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862423.0,1849980.0,1671898.0
CONSTRUTORA TENDA S.A.,71.476.527/0001-35,-103069.0,-60632.0,-95539.0,45794.0,103733.0,141856.0,243490.0,322381.0,294707.0,-45878.0,-259751.0
COSAN S.A.,50.746.577/0001-15,5371922.0,4844520.0,2063829.0,2591228.0,3408745.0,3463336.0,3322778.0,4170157.0,3052311.0,10897844.0,10874887.0
CPFL ENERGIA S.A.,02.429.144/0001-93,3612487.0,3250928.0,3475454.0,3448036.0,3872835.0,4582043.0,5357987.0,6111911.0,6499837.0,8869249.0,11951151.0
CRUZEIRO DO SUL EDUCACIONAL S.A.,62.984.091/0001-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397195.0,363984.0,508867.0,550418.0
CSN MINERAÇÃO S.A.,08.902.291/0001-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800553.0,7533633.0,10220758.0,5751497.0
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22980.0,57614.0,178404.0,217438.0
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,1443132.0,-202147.0,457176.0,622579.0,7402236.0,2056948.0,2468072.0,2361135.0,4447033.0,4460019.0,3517810.0
CURY CONSTRUTORA E INCORPORADORA S.A.,08.797.760/0001-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238664.0,226439.0,377806.0,431293.0
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,172210.0,289816.0,351019.0,415887.0,500216.0,561179.0,659063.0,428358.0,-1190592.0,-235054.0,165607.0
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,1045563.0,1098024.0,1044613.0,748760.0,336638.0,72313.0,86319.0,623099.0,2245785.0,1125176.0,956763.0
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12.108.897/0001-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84487.0,83603.0,91926.0,133092.0
DESKTOP S.A.,08.170.849/0001-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69245.0,129368.0,325471.0
DEXCO S.A.,97.837.181/0001-47,0.0,0.0,0.0,0.0,0.0,986790.0,1545975.0,1359185.0,1292390.0,2603686.0,2294668.0
DEXXOS PARTICIPAÇÕES S.A.,02.193.750/0001-52,22578.0,151964.0,19710.0,14194.0,116613.0,118874.0,67192.0,68841.0,200525.0,278857.0,305215.0
DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,397531.0,434287.0,418377.0,345275.0,529200.0,563921.0,605491.0,865304.0,932136.0,1018276.0,2128119.0
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,77545.0,88626.0,90577.0,102172.0,111959.0,118023.0,139778.0,215300.0,209888.0,259469.0,321853.0
DIRECIONAL ENGENHARIA S.A.,16.614.075/0001-00,235362.0,274331.0,263398.0,205633.0,28527.0,-108844.0,-10682.0,228889.0,262808.0,374152.0,428838.0
DOTZ S.A.,18.174.270/0001-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3943.0,-2743.0,-57854.0,-84111.0
DURATEX S.A.,97.837.181/0001-47,1192498.0,1447576.0,1227667.0,911338.0,901217.0,0.0,0.0,0.0,0.0,0.0,0.0
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04.149.454/0001-80,1190479.0,1196287.0,1418375.0,1311371.0,1114438.0,1630189.0,1617873.0,1363201.0,1412798.0,2259072.0,2123595.0
ELETROMIDIA S.A.,09.347.516/0001-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60545.0,1873.0,81383.0,251674.0
EMBRAER S.A.,07.689.002/0001-89,1766078.0,2239193.0,1980605.0,2176385.0,1983298.0,2145189.0,1084740.0,178932.0,-157507.0,2164688.0,527466.0
EMPREENDIMENTOS PAGUE MENOS S.A.,06.626.253/0001-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024163.0
