DENOM_CIA,CNPJ_CIA,ANO,ROA,LC,CTPT,ME,ML,setor_economico,ano_fator
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2012,,,,,,"Petróleo, Gás e Biocombustíveis",1
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2013,,,,,,"Petróleo, Gás e Biocombustíveis",2
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2014,,,,,,"Petróleo, Gás e Biocombustíveis",3
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2015,,,,,,"Petróleo, Gás e Biocombustíveis",4
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2016,,,,,,"Petróleo, Gás e Biocombustíveis",5
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2017,,,,,,"Petróleo, Gás e Biocombustíveis",6
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2018,,,,,,"Petróleo, Gás e Biocombustíveis",7
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2019,-8.063181685181261,2.714497662570333,0.6742217886508469,-0.24839506172839507,-0.9866049382716049,"Petróleo, Gás e Biocombustíveis",8
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2020,-13.111503491596272,6.740112303621486,0.9580948844118466,-0.6497743006256915,-1.3538535353040821,"Petróleo, Gás e Biocombustíveis",9
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2021,0.2932255563006454,4.786796809811189,0.3060837826866358,0.7315385154417634,0.021971725709983115,"Petróleo, Gás e Biocombustíveis",10
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2022,1.6022310499069454,1.761891675126334,0.8361276353145102,0.3195262252804481,0.07414907612652416,"Petróleo, Gás e Biocombustíveis",11
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2012,,,,,,Utilidade Pública,1
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2013,,,,,,Utilidade Pública,2
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2014,,,,,,Utilidade Pública,3
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2015,,,,,,Utilidade Pública,4
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2016,,,,,,Utilidade Pública,5
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2017,,,,,,Utilidade Pública,6
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2018,,,,,,Utilidade Pública,7
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2019,,,,,,Utilidade Pública,8
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2020,,,,,,Utilidade Pública,9
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2021,3.58401323647967,1.2902083519430778,1.9363800233798916,0.2873380252080423,0.21716706453314075,Utilidade Pública,10
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2022,1.6909965040967236,2.5965815449069582,2.396688611619193,0.4264157097731258,0.11252744672602341,Utilidade Pública,11
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2012,,,,,,Consumo não Cíclico,1
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2013,,,,,,Consumo não Cíclico,2
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2014,,,,,,Consumo não Cíclico,3
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2015,,,,,,Consumo não Cíclico,4
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2016,,,,,,Consumo não Cíclico,5
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2017,,,,,,Consumo não Cíclico,6
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2018,,,,,,Consumo não Cíclico,7
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2019,1.7291742828636099,1.0693449225810867,4.37780355173594,0.051845510091134334,0.016938504238782067,Consumo não Cíclico,8
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2020,1.78862742659061,1.0307945389033055,3.17671259464313,0.049098638188792613,0.02896756557051786,Consumo não Cíclico,9
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2021,1.7623407543421243,1.1120872451047563,3.5956892879334252,0.06294849511094551,0.018143736652089515,Consumo não Cíclico,10
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2022,0.2920843594763651,1.141423817252078,5.600544401271824,0.054929260358628114,0.002497043349542075,Consumo não Cíclico,11
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2012,,,,,,Saúde,1
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2013,,,,,,Saúde,2
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2014,,,,,,Saúde,3
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2015,,,,,,Saúde,4
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2016,,,,,,Saúde,5
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2017,,,,,,Saúde,6
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2018,,,,,,Saúde,7
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2019,2.0854009439757517,1.0266153986278743,0.8190283045025689,0.2428320431741179,0.0466722280995279,Saúde,8
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2020,-3.6381534770105666,1.1940287230760513,1.0761912389146218,0.11849218389146274,-0.09951797344278074,Saúde,9
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2021,0.0781990922139587,0.829962851763269,1.1019989515756958,0.18281111975308206,0.0017491192814885462,Saúde,10
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2022,-8.382598202835913,0.7138736034929811,1.6636202448883155,0.07898644158712048,-0.2020656049857651,Saúde,11
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2012,,,,,,Consumo Cíclico,1
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2013,,,,,,Consumo Cíclico,2
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2014,,,,,,Consumo Cíclico,3
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2015,,,,,,Consumo Cíclico,4
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2016,,,,,,Consumo Cíclico,5
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2017,,,,,,Consumo Cíclico,6
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2018,,,,,,Consumo Cíclico,7
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2019,3.16554448120051,1.3861577972267403,2.276817475722151,0.06001421076499129,0.02711470005828192,Consumo Cíclico,8
